stamp,x,y,yaw,v,w
1786167425.456636,0.0,0.0,0.0,1.1503990440087606,-0.2673554201081142
1786167425.4774466,0.02179859083406045,8.681630239330693e-05,-0.0034370791907714924,1.1316264094570416,-0.1651599912720215
1786167425.4966319,0.04125041589787863,0.00010105188630441921,-0.005852132387271753,1.0953568026183604,-0.12588036737493666
1786167425.5169835,0.061467230384274804,6.281205657621017e-05,-0.008133846614483633,1.0732080215975912,-0.11211446808321951
1786167425.5367937,0.08075031793137938,-2.0698210432574778e-05,-0.010208727100794344,1.0516405300887015,-0.10473798920754565
1786167425.5569742,0.09980802271756077,-0.00016036100697972033,-0.013528605980923947,1.0203124057714157,-0.16450954321613298
1786167425.5771348,0.11804890987322586,-0.0003711078937456019,-0.017879308091906267,0.9775987402534091,-0.21580141044112636
1786167425.5966675,0.13509791935170223,-0.0006492821885794425,-0.022201030698879475,0.9431808908998652,-0.2212559922041624
1786167425.617015,0.15214138029425295,-0.0010039376036100058,-0.026055624643217982,0.9052147397354154,-0.18943954160405452
1786167425.6365798,0.1674788415026246,-0.0013830887344476665,-0.029307689911026776,0.847273131173482,-0.1662196458857623
1786167425.6566136,0.1822809112198449,-0.0017999440156576583,-0.032299876726984825,0.7986378165396893,-0.14935665648260196
1786167425.6766765,0.19616371565900353,-0.0022366022555454865,-0.03527881893354312,0.7480346571106938,-0.14847996687743725
1786167425.6964965,0.20900370462430315,-0.002680596449991718,-0.037971843918441266,0.7004047921713417,-0.13587428836725424
1786167425.7165947,0.22134342181100586,-0.0031413342712404623,-0.04027721215101525,0.6638680129215196,-0.11470515551208811
1786167425.7371352,0.23336239480020804,-0.0036213483348006307,-0.04267945406465271,0.632757398900957,-0.11695161941357052
1786167425.7571495,0.2437330430138988,-0.0040610121748735455,-0.044727067374490205,0.5603928269559109,-0.10230758697144197
1786167425.776806,0.25345959510862437,-0.004491976572230415,-0.04613269163043454,0.5351971499631151,-0.07150881109094914
1786167425.7967906,0.2627878435823148,-0.004911191432302476,-0.04581833812313598,0.5048757907795653,0.015729878826027565
1786167425.8170495,0.27140027466279704,-0.005287690423138333,-0.043798165503729634,0.45979318192846785,0.09971776700873872
1786167425.8370543,0.2793468847319567,-0.005614902780626506,-0.04105972613985198,0.4295881017465135,0.1368894617508823
1786167425.8571575,0.28664766391020896,-0.0058923095532697,-0.03786085192266744,0.39268932601899087,0.15912251004677372
1786167425.8767574,0.29282468308571613,-0.006102961085926504,-0.03380630062004874,0.34072549634671423,0.20686576424166495
1786167425.8966494,0.2989941954524087,-0.006284640779661685,-0.029204361676760975,0.3352604709379233,0.23134648062022947
1786167425.917039,0.3038761140131434,-0.006406233262009164,-0.025361931370394004,0.2587807072013535,0.18845089807900128
1786167425.9371018,0.30564075415512326,-0.006444357110277144,-0.023067986479492188,0.0950544439863042,0.11433751909315648
1786167425.9567904,0.30700667619264715,-0.006471002034098643,-0.021468494275507084,0.07497200757318882,0.08123948352074944
1786167425.9769635,0.30919769367128336,-0.006510175314181898,-0.020041353753120696,0.1173669745028719,0.07074482581202872
1786167425.9968355,0.30919852560091954,-0.006510189074840758,-0.01898290631461743,4.5238251162473966e-05,0.05326339038385627
1786167426.0168514,0.31028166882094543,-0.006527560356872337,-0.019106478410813404,0.05847426747951904,-0.006173679765621018
1786167426.0370061,0.31028166882094543,-0.006527560356872337,-0.019986752538081614,0.0,-0.043675841877299504
1786167426.0574198,0.31028166882094543,-0.006527560356872337,-0.020943573091910955,0.0,-0.04687163518539459
1786167426.076928,0.31028166882094543,-0.006527560356872337,-0.021774825494687882,0.0,-0.04261057744126781
1786167426.0965886,0.31028166882094543,-0.006527560356872337,-0.02194237634686928,0.0,-0.008522115488253563
