x,y,yaw,speed
-10.6024,8.65,3.141593,1.0
-10.8529,8.65,3.141593,1.0
-11.1034,8.65,3.141593,1.0
-11.3539,8.65,3.141593,1.0
-11.6044,8.65,3.141593,1.0
-11.8549,8.65,3.141593,1.0
-12.1054,8.65,3.141593,1.0
-12.3559,8.65,3.141593,1.0
-12.6064,8.65,3.141593,1.0
-12.8569,8.65,3.141593,1.0
-13.1074,8.65,3.141593,1.0
-13.3579,8.65,-2.489862,1.0
-13.5,8.5416,-2.034584,1.0
-13.5917,8.3583,-1.858668,1.0
-13.65,8.1613,-1.570796,1.0
-13.65,7.9108,-1.570796,1.0
-13.65,7.6603,-1.570796,1.0
-13.65,7.4098,-1.570796,1.0
-13.65,7.1593,-1.570796,1.0
-13.65,6.9088,-1.570796,1.0
-13.65,6.6583,-1.570796,1.0
-13.65,6.4078,-1.570796,1.0
-13.65,6.1573,-1.570796,1.0
-13.65,5.9068,-1.570796,1.0
-13.65,5.6563,-1.570796,1.0
-13.65,5.4058,-1.570796,1.0
-13.65,5.1553,-1.570796,1.0
-13.65,4.9048,-1.570796,1.0
-13.65,4.6543,-1.570796,1.0
-13.65,4.4038,-1.570796,1.0
-13.65,4.1533,-1.570796,1.0
-13.65,3.9028,-1.815186,1.0
-13.7,3.7023,-1.570796,1.0
-13.7,3.4518,-1.570796,1.0
-13.7,3.2013,-1.570796,1.0
-13.7,2.9508,-1.570796,1.0
-13.7,2.7003,-1.570796,1.0
-13.7,2.4498,-1.570796,1.0
-13.7,2.1993,-1.570796,1.0
-13.7,1.9488,-1.570796,1.0
-13.7,1.6983,-1.570796,1.0
-13.7,1.4478,-1.570796,1.0
-13.7,1.1973,-1.570796,1.0
-13.7,0.9468,-1.570796,1.0
-13.7,0.6963,-1.570796,1.0
-13.7,0.4458,-1.356547,1.0
-13.65,0.216,-1.147376,1.0
-13.5549,0.0049,-1.301122,1.0
-13.5,-0.1936,-0.026113,1.0
-13.2559,-0.2,0.0,1.0
-13.0054,-0.2,0.21425,1.0
-12.7756,-0.15,0.0,1.0
-12.5251,-0.15,0.0,1.0
-12.2746,-0.15,0.0,1.0
-12.0241,-0.15,0.0,1.0
-11.7736,-0.15,0.0,1.0
-11.5231,-0.15,0.0,1.0
-11.2726,-0.15,0.0,1.0
-11.0221,-0.15,0.0,1.0
-10.7716,-0.15,0.0,1.0
-10.5211,-0.15,0.0,1.0
-10.2706,-0.15,0.0,1.0
-10.0201,-0.15,0.0,1.0
-9.7696,-0.15,0.0,1.0
-9.5191,-0.15,0.0,1.0
-9.2686,-0.15,0.0,1.0
-9.0181,-0.15,0.0,1.0
-8.7676,-0.15,0.0,1.0
-8.5171,-0.15,0.0,1.0
-8.2666,-0.15,0.0,1.0
-8.016,-0.15,0.0,1.0
-7.7655,-0.15,0.0,1.0
-7.515,-0.15,0.0,1.0
-7.2645,-0.15,0.0,1.0
-7.014,-0.15,0.0,1.0
-6.7635,-0.15,0.0,1.0
-6.513,-0.15,0.0,1.0
-6.2625,-0.15,0.0,1.0
-6.012,-0.15,0.0,1.0
-5.7615,-0.15,0.0,1.0
-5.511,-0.15,0.0,1.0
-5.2605,-0.15,0.0,1.0
-5.01,-0.15,0.0,1.0
-4.7595,-0.15,0.0,1.0
-4.509,-0.15,0.0,1.0
-4.2585,-0.15,0.0,1.0
-4.008,-0.15,0.0,1.0
-3.7575,-0.15,0.0,1.0
-3.507,-0.15,0.0,1.0
-3.2565,-0.15,0.0,1.0
-3.006,-0.15,0.0,1.0
-2.7555,-0.15,0.0,1.0
-2.505,-0.15,0.0,1.0
-2.2545,-0.15,0.0,1.0
-2.004,-0.15,0.0,1.0
-1.7535,-0.15,0.0,1.0
-1.503,-0.15,0.0,1.0
-1.2525,-0.15,0.0,1.0
-1.002,-0.15,0.0,1.0
-0.7515,-0.15,0.0,1.0
-0.501,-0.15,0.0,1.0
-0.2505,-0.15,0.0,1.0
0.0,-0.15,0.0,1.0
