time_s,x_m,y_m,nearest_index,error_m
4.1041999793378636e-05,0.3966025029639101,0.4877593231681397,1,0.0671487154386169
0.0001688330003162264,0.3966025029639101,0.4877593231681397,1,0.0671487154386169
0.0003857450001305551,0.3966025029639101,0.4877593231681397,1,0.0671487154386169
0.0006117140001151711,0.3966025029639101,0.4877593231681397,1,0.0671487154386169
0.0008239429998866399,0.3966025029639101,0.4877593231681397,1,0.0671487154386169
0.0034930470001199865,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.003770383999835758,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.0038694719996783533,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.004081760999724793,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.004287922000003164,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.00449403800030268,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.007526184999733232,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.00779705999957514,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.007892478999565355,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.008102462000351807,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.00831039399963629,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.008523075999619323,0.39954418627791727,0.48608475499331544,1,0.06395769252313051
0.011910436000107438,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.012185278000288235,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.012284604999877047,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.012507786999776727,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.012719841999569326,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.01295663600012631,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.015582619999804592,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.01594156600003771,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.01610515399988799,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.016377019000174187,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.016655956999784394,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.016904602999602503,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.019592077999732282,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.019851799000207393,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.019949263999478717,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.020161958999779017,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.020412263000253006,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.020629003000067314,0.40253563994245123,0.4843902540022705,1,0.06073546419160202
0.02345820200025628,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.023769487999743433,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.023876493999523518,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.024109697000312735,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.024326257999746304,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.02454104600019491,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.027413459999479528,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.027687539999533328,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.02778370400028507,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.027992758999971556,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.028194522999910987,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.02839121899978636,0.4055750166633919,0.4826777177542763,1,0.05748838980749228
0.03195534899987251,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.03222698199988372,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.0323243659995569,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.032547030999921844,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.03275654000026407,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.032959412000309385,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.0356184869997378,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.035894024000299396,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.03599275499982468,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.036209261000294646,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
0.03641275300014968,0.4086599603383515,0.4809478987022328,1,0.054224194907392484
