time_s,x_m,y_m,nearest_index,error_m
4.033799996250309e-05,0.48130692442945067,0.4564786256045298,1,0.02657464577260114
0.00017933700019057142,0.48130692442945067,0.4564786256045298,1,0.02657464577260114
0.00039842899968789425,0.48130692442945067,0.4564786256045298,1,0.02657464577260114
0.0005998779997753445,0.48130692442945067,0.4564786256045298,1,0.02657464577260114
0.0007977609993758961,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0010374309995313524,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0012578249998114188,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0014523079998980393,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0015316439994421671,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0017145459996754653,0.4818120349388923,0.45640119993124545,1,0.02698701231896259
0.0018970649998664157,0.4859787894950013,0.454139618889955,1,0.03156938345685883
0.0020794929996554856,0.4859787894950013,0.454139618889955,1,0.03156938345685883
0.0022786839999753283,0.4859787894950013,0.454139618889955,1,0.03156938345685883
0.002460474000145041,0.4859787894950013,0.454139618889955,1,0.03156938345685883
0.0026400529995953548,0.4859787894950013,0.454139618889955,1,0.03156938345685883
0.0028229529998498037,0.48648521831479896,0.45406321216279455,1,0.03199710042359733
0.0030021739994481322,0.48648521831479896,0.45406321216279455,1,0.03199710042359733
0.0031883809997452772,0.48648521831479896,0.45406321216279455,1,0.03199710042359733
0.0033750920001693885,0.48648521831479896,0.45406321216279455,1,0.03199710042359733
0.003556806999768014,0.48648521831479896,0.45406321216279455,1,0.03199710042359733
0.0037348949999795877,0.4907590434744733,0.45178310447541825,1,0.036722653541211084
0.003912244999810355,0.4907590434744733,0.45178310447541825,1,0.036722653541211084
0.004090364000148838,0.4907590434744733,0.45178310447541825,1,0.036722653541211084
0.004280604999621573,0.4907590434744733,0.45178310447541825,1,0.036722653541211084
0.004479456999433751,0.4907590434744733,0.45178310447541825,1,0.036722653541211084
0.004664672999751929,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.004852811999626283,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.005059968999375997,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.005265807999421668,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.005449547999887727,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.005526355999791122,0.49121605179954814,0.45171526052438143,1,0.037117480012818296
0.00570404999962193,0.491734202607629,0.4516382789977176,1,0.03756702194918165
0.0058800030001293635,0.491734202607629,0.4516382789977176,1,0.03756702194918165
0.0060550070002136636,0.491734202607629,0.4516382789977176,1,0.03756702194918165
